set_num,price
010423-1,
100302304-1,
100522110-1,
10312-1,PLN999.99
10313-1,PLN249.99
10314-1,PLN214.99
10315-1,PLN449.99
10316-1,PLN2
10317-1,PLN1
10318-1,PLN869.99
10320-1,PLN949.99
10321-1,PLN649.99
10323-1,PLN1
10325-1,
10326-1,PLN1
10327-1,PLN709.99
10328-1,PLN249.99
10329-1,PLN214.99
10330-1,PLN349.99
10331-1,PLN214.99
10332-1,PLN999.99
10333-1,PLN1
10334-1,PLN439.99
10335-1,PLN1
10337-1,
10338-1,PLN399.99
10339-1,PLN439.99
10340-1,PLN439.99
10341-1,PLN1
10342-1,PLN249.99
10343-1,PLN129.99
10344-1,PLN129.99
10345-1,PLN479.99
10350-1,PLN999.99
10353-1,PLN349.99
10355-1,
103558-1,
10359-1,PLN439.99
10363-1,PLN269.99
103660-1,
10368-1,PLN129.99
10369-1,PLN129.99
10370-1,PLN214.99
10391-1,PLN469.99
10411-1,PLN369.99
10412-1,PLN79.99
10413-1,
10414-1,PLN124.99
10415-1,PLN124.99
10416-1,PLN234.99
10417-1,PLN79.99
10418-1,PLN139.99
10419-1,PLN79.99
10420-1,PLN84.99
10421-1,PLN169.99
10422-1,PLN279.99
10423-1,PLN234.99
10424-1,
10425-1,PLN84.99
10426-1,PLN169.99
10427-1,PLN349.99
10428-1,PLN599.99
10431-1,PLN84.99
10432-1,PLN124.99
10433-1,PLN189.99
10434-1,PLN299.99
10435-1,PLN389.99
10438-1,PLN79.99
10439-1,PLN214.99
10440-1,PLN84.99
10442-1,PLN39.99
10444-1,PLN84.99
10445-1,PLN189.99
10446-1,PLN349.99
10447-1,PLN84.99
10449-1,PLN174.99
10454-1,PLN84.99
10457-1,PLN84.99
10460-1,
104655-1,
105334-1,
107542-1,
107544-1,
10785-1,PLN42.99
10786-1,PLN89.99
10787-1,PLN129.99
10788-1,PLN349.99
10789-1,PLN42.99
10790-1,PLN154.51
10791-1,PLN214.99
10792-1,PLN42.99
10793-1,PLN84.99
10794-1,PLN234.99
10795-1,PLN64.99
10796-1,PLN169.99
10797-1,PLN214.99
10935-1,PLN214.99
10981-1,PLN39.99
10982-1,PLN79.99
10983-1,
10984-1,PLN189.99
10985-1,PLN39.99
10986-1,PLN79.99
10987-1,PLN79.99
10988-1,PLN79.99
10989-1,PLN179.99
10990-1,PLN279.99
10991-1,PLN224.99
10992-1,PLN199.99
10993-1,PLN389.99
10994-1,
10995-1,PLN109.99
10996-1,PLN149.99
10997-1,PLN224.99
10998-1,PLN429.99
11027-1,PLN84.99
11028-1,PLN84.99
11029-1,PLN214.99
11030-1,PLN249.99
11031-1,PLN37.62
11032-1,PLN299.99
11033-1,PLN389.99
11034-1,PLN149.99
11035-1,PLN234.99
11036-1,PLN234.99
11037-1,PLN129.99
11038-1,PLN214.99
11039-1,PLN42.99
11040-1,PLN84.99
11041-1,PLN149.99
11042-1,PLN174.99
11198-1,
11199-1,PLN129.99
11200-1,PLN239.99
112322-1,PLN19.91
112323-1,PLN15.84
112324-1,PLN25.68
112325-1,PLN14.91
112326-1,PLN19.56
112327-1,PLN20.00
112328-1,PLN17.84
112402-1,PLN18.83
112403-1,PLN19.57
112404-1,PLN28.75
112405-1,PLN30.81
112406-1,PLN331.38
112429-1,PLN17.86
11964520626-1,
11964520671-1,
11974-1,PLN29.68
11975-1,PLN15.00
11976-1,
11977-1,
11978-1,PLN10.97
122326-1,PLN14.09
122327-1,PLN15.45
122328-1,PLN14.00
122329-1,PLN14.49
122330-1,PLN15.99
122331-1,PLN20.39
122332-1,PLN11.07
122333-1,PLN19.75
122334-1,PLN15.57
122401-1,PLN11.00
122402-1,PLN14.76
122403-1,PLN12.50
122404-1,PLN18.16
122405-1,PLN14.76
122406-1,PLN9.84
122407-1,PLN23.11
122408-1,PLN584.08
122409-1,PLN385.73
2000409-2,PLN676.20
200632304-1,
200852304-1,
202142304-1,
202222304-1,
202292401-1,
202292404-1,
202292406-1,
202382304-1,
202402301-1,
202402302-1,
202792410-1,
202812410-1,
202832408-1,
202832409-1,
202832410-1,
202842410-1,
202852410-1,
202862410-1,
202872410-1,
202882410-1,
202892410-1,
203160023-1,
207307979-1,
207440392-1,
21060-1,PLN699.99
21061-1,PLN999.99
212325-1,PLN10.12
212326-1,PLN15.07
212327-1,PLN19.00
212328-1,PLN15.00
212329-1,PLN18.24
212330-1,
21240-1,PLN42.99
212401-1,PLN20.97
212402-1,PLN18.63
212403-1,PLN14.86
212404-1,PLN12.00
212405-1,PLN25.68
212406-1,PLN28.25
21241-1,PLN89.99
21242-1,PLN109.99
21243-1,PLN149.99
21244-1,PLN189.99
21245-1,PLN214.99
21246-1,PLN279.99
21247-1,PLN119.99
21248-1,PLN95.99
21249-1,PLN329.99
21250-1,PLN459.99
21251-1,PLN42.99
21252-1,PLN89.99
21253-1,PLN89.99
21254-1,
21255-1,PLN164.99
21256-1,PLN234.99
21257-1,PLN189.99
21259-1,PLN64.99
21260-1,PLN124.99
21261-1,PLN149.99
21262-1,PLN234.99
21263-1,PLN259.99
21264-1,PLN349.99
21265-1,PLN399.99
21266-1,
21267-1,PLN64.99
21268-1,PLN89.99
21269-1,PLN129.99
21270-1,PLN219.99
21271-1,PLN174.99
21281-1,PLN89.99
21338-1,PLN779.99
21339-1,PLN439.99
21340-1,PLN214.99
21341-1,PLN999.99
21342-1,PLN349.99
21343-1,PLN599.99
21344-1,PLN1
21345-1,PLN349.99
21346-1,PLN399.99
21347-1,PLN519.99
21348-1,PLN1
21349-1,PLN439.99
21350-1,PLN659.99
21351-1,PLN879.99
21352-1,
21353-1,PLN1
242316-1,PLN16.36
242317-1,PLN17.34
242318-1,PLN20.53
242319-1,PLN20.00
242320-1,PLN14.17
242321-1,PLN19.39
242401-1,PLN18.72
242402-1,PLN17.19
242403-1,PLN19.68
242404-1,PLN20.91
242405-1,PLN21.36
242406-1,PLN76.85
30630-1,PLN20.33
30633-1,PLN8.50
30634-1,PLN12.74
30635-1,PLN10.74
30636-1,PLN10.47
30637-1,PLN12.17
30638-1,PLN12.77
30638-2,
30639-1,PLN12.82
30640-1,PLN8.35
30641-1,PLN12.95
30642-1,PLN14.23
30643-1,PLN11.50
30644-1,PLN12.74
30645-1,PLN13.63
30646-1,PLN27.50
30647-1,PLN14.91
30648-1,PLN9.18
30649-1,PLN11.87
30650-1,PLN14.76
30651-1,PLN12.30
30652-1,PLN12.56
30653-1,PLN12.53
30654-1,PLN17.00
30655-1,PLN17.00
30656-1,PLN33.16
30657-1,PLN12.73
30658-1,PLN12.89
30659-1,PLN12.73
30660-1,PLN13.96
30661-1,PLN12.73
30662-1,PLN12.89
30662-2,
30663-1,PLN14.32
30664-1,PLN4.13
30664-2,
30665-1,PLN12.53
30666-1,PLN10.74
30666-2,
30667-1,PLN12.53
30668-1,PLN10.81
30669-1,PLN8.24
30670-1,PLN13.96
30671-1,PLN12.53
30672-1,PLN10.96
30673-1,
30674-1,PLN14.32
30675-1,PLN12.22
30676-1,PLN11.81
30677-1,PLN12.30
30678-1,PLN13.96
30679-1,PLN12.22
30680-1,PLN12.53
30682-1,PLN12.53
30682-2,
30683-1,PLN12.73
30685-1,PLN12.53
30686-1,PLN25.42
30688-1,PLN48.22
30689-1,PLN72.00
30691-1,PLN216.10
30693-1,
30694-1,PLN82.29
30695-1,PLN335.25
30696-1,PLN335.25
30697-1,PLN54.89
30698-1,PLN335.25
30699-1,PLN335.25
30701-1,PLN30.65
30702-1,
30703-1,PLN192.19
30704-1,PLN77.15
30705-1,PLN24.52
30710-1,PLN24.52
31133-1,PLN84.99
31134-1,PLN42.99
31135-1,PLN64.99
31136-1,PLN109.99
31137-1,PLN129.99
31138-1,PLN214.99
31139-1,PLN259.99
31140-1,PLN42.99
31141-1,
31142-1,PLN449.99
31143-1,PLN129.99
31144-1,PLN109.99
31145-1,PLN42.99
31146-1,PLN84.99
31147-1,PLN84.99
31148-1,PLN129.99
31149-1,PLN129.99
31150-1,PLN279.99
31151-1,PLN259.99
31152-1,
31153-1,PLN439.99
31154-1,PLN214.99
31155-1,PLN129.99
31156-1,PLN129.99
31157-1,PLN84.99
31158-1,PLN129.99
31159-1,PLN54.99
31160-1,PLN64.99
31161-1,PLN259.99
31162-1,PLN84.99
31163-1,
31164-1,PLN109.99
31165-1,PLN174.99
31169-1,PLN129.99
31170-1,PLN109.99
31208-1,PLN439.99
31209-1,PLN859.99
31210-1,PLN214.99
31211-1,PLN214.99
31212-1,PLN879.99
31213-1,PLN439.99
31214-1,PLN349.99
34607701-1,
34607703-1,PLN34.13
3467702-1,
353800-1,
353810-1,
353820-1,
353830-1,
353840-1,
353850-1,
353860-1,
353960LL-1,
3850075-1,
4000040-1,PLN247.32
4000042-1,PLN28
40000803-1,
4000502-1,
4000515-1,
4000518-1,
4000519-1,
4002023-1,
4002501-1,
40420801-1,
40441726-1,
40504-1,PLN576.69
40505-1,PLN555.29
40520802-1,
40521736-1,
40560802-1,
40561736-1,
40575-1,PLN25.82
40580-1,PLN123.47
40580802-1,
40581-1,PLN71.35
40581741-1,
40582-1,PLN49.51
40583-1,PLN128.11
40584-1,PLN56.31
40585-1,PLN82.15
40586-1,PLN108.08
40587-1,PLN43.01
40588-1,
40589-1,PLN40.12
40590-1,PLN127.94
40591-1,PLN192.23
40593-1,PLN26.09
40594-1,PLN91.62
40595-1,PLN100.36
40596-1,PLN102.88
40597-1,PLN62.97
40598-1,PLN200.72
40599-1,PLN123.47
40600-1,PLN111.82
40601-1,PLN113.22
40602-1,PLN56.30
40603-1,PLN108.64
40604-1,PLN62.37
40605-1,PLN20.71
40606-1,PLN25.81
40607-1,PLN30.88
40608-1,PLN35.81
40609-1,PLN36.23
40610-1,
40611-1,PLN42.99
40613-1,PLN174.99
40615-1,PLN42.99
40616-1,PLN84.99
40617-1,PLN84.99
40618-1,PLN84.99
40619-1,PLN64.99
40620-1,PLN84.99
40621-1,PLN84.99
40622-1,PLN180.26
40623-1,
40624-1,PLN41.18
40625-1,PLN41.18
40625-2,
40626-1,PLN41.18
40627-1,PLN42.99
40628-1,PLN42.99
40630-1,PLN64.99
40631-1,PLN84.99
40632-1,PLN84.99
40634-1,PLN429.99
40638-1,PLN54.99
40639-1,PLN54.99
40640-1,PLN54.99
40641-1,PLN64.99
40642-1,PLN54.99
40643-1,PLN84.99
40644-1,PLN42.99
40646-1,PLN51.49
40647-1,PLN64.99
40648-1,PLN109.99
40649-1,
40650-1,PLN64.99
40651-1,PLN64.99
40655-1,PLN389.99
40656-1,PLN389.99
40657-1,PLN74.99
40658-1,PLN115.87
40659-1,PLN154.14
40668-1,PLN84.99
40669-1,PLN42.99
40670-1,PLN42.99
40671-1,
40672-1,PLN84.99
40673-1,PLN42.99
40674-1,PLN42.99
40675-1,PLN42.99
40676-1,PLN239.99
40677-1,PLN219.99
40678-1,PLN129.99
40679-1,PLN41.43
